Estado,OSIG,n_personas,ingreso_laboral,consumo,ISR,IVA,Total aportacion
Tabasco,bisexual,51779.0,150624531.0,873532880.0,7872939.0,10001287.0,17874227.0
Tabasco,gay,22642.0,97607591.0,304308565.0,3953798.0,4148031.0,8101829.0
Tabasco,otro,10395.0,45573575.0,184534864.0,4277198.0,2721668.0,6998866.0
Tamaulipas,Lesbiana,8783.0,52918006.0,104812375.0,2486450.0,1796010.0,4282460.0
Tamaulipas,Normativo,2592759.0,19040841230.0,46658675301.0,1636343903.0,849576008.0,2485919912.0
Tamaulipas,T+,11828.0,51495035.0,182132271.0,3897100.0,2931695.0,6828795.0
Tamaulipas,bisexual,42901.0,225763820.0,824647309.0,17019578.0,10262147.0,27281725.0
Tamaulipas,gay,20884.0,202733645.0,436768241.0,20455568.0,9416078.0,29871645.0
Tamaulipas,otro,3218.0,30651139.0,74994724.0,0.0,1073042.0,1073042.0
Tlaxcala,Lesbiana,3868.0,16533571.0,56420542.0,778453.0,614123.0,1392576.0
Tlaxcala,Normativo,971741.0,5309542248.0,16221767270.0,444680190.0,254001399.0,698681588.0
Tlaxcala,T+,9154.0,70491460.0,169250550.0,7219102.0,2557128.0,9776230.0
Tlaxcala,bisexual,25644.0,128478358.0,515690925.0,10505149.0,6438922.0,16944071.0
Tlaxcala,gay,21039.0,122171247.0,373354092.0,10800828.0,5545966.0,16346794.0
Tlaxcala,otro,2980.0,34295311.0,90374371.0,4653403.0,870480.0,5523883.0
Veracruz de Ignacio de la Llave,Lesbiana,21482.0,235807707.0,423386120.0,21664121.0,8128357.0,29792479.0
Veracruz de Ignacio de la Llave,Normativo,6086140.0,30025707484.0,89815504088.0,2254821864.0,1632464872.0,3887286748.0
Veracruz de Ignacio de la Llave,T+,36852.0,130021168.0,399421095.0,3804919.0,6453350.0,10258270.0
Veracruz de Ignacio de la Llave,bisexual,176707.0,667036864.0,2846091629.0,41758166.0,33646956.0,75405123.0
Veracruz de Ignacio de la Llave,gay,35715.0,209787089.0,442359116.0,7320768.0,8118581.0,15439350.0
Veracruz de Ignacio de la Llave,otro,37102.0,138683159.0,537829241.0,11467688.0,9312836.0,20780524.0
Yucatán,Lesbiana,12844.0,65364325.0,204824911.0,6556297.0,3467546.0,10023843.0
Yucatán,Normativo,1664087.0,9305436147.0,27571676651.0,706074789.0,448977023.0,1155051816.0
Yucatán,T+,47728.0,265374600.0,868762999.0,24197935.0,11765039.0,35962974.0
Yucatán,bisexual,53436.0,319163575.0,905705631.0,27123935.0,16939315.0,44063251.0
