ingreso_laboral,consumo,OSIG,n_personas,ISR,IVA,Total aportacion,Estado
1556.3163,16866.711,Normativo,786.0,0.0,149.89964,149.89964,Aguascalientes
1064.0614,22186.641,Normativo,1311.0,41.908985,91.137413,133.0464,Aguascalientes
8045.9585,15089.276,Normativo,1114.0,0.0,252.43399,252.43399,Aguascalientes
7236.5313,18924.434,Normativo,524.0,576.03064,271.41296,847.4436,Aguascalientes
2598.7822,21754.781,Normativo,1311.0,146.84717,106.45778,253.30495,Aguascalientes
1151.8879,13371.737,Normativo,1004.0,47.914223,151.24121,199.15543,Aguascalientes
11312.15,22686.266,Normativo,502.0,1274.7284,783.07697,2057.8054,Aguascalientes
738.57623,28585.949,Normativo,1067.0,19.653587,196.07204,215.72562,Aguascalientes
16061.236,21541.959,Normativo,267.0,2529.9063,745.96344,3275.8696,Aguascalientes
7682.0151,18328.174,Normativo,1334.0,0.0,152.30756,152.30756,Aguascalientes
12646.857,21646.494,Normativo,646.0,1602.501,567.83264,2170.3335,Aguascalientes
1300.0836,7652.4683,Normativo,304.0,58.047256,413.12354,471.17078,Aguascalientes
10673.566,33261.789,Normativo,1615.0,1135.3104,226.56651,1361.877,Aguascalientes
4470.2236,22870.807,Normativo,969.0,0.0,205.11551,205.11551,Aguascalientes
4925.1455,22796.701,Normativo,1824.0,0.0,130.54582,130.54582,Aguascalientes
9822.8115,15413.67,Normativo,765.0,958.81451,337.16257,1295.9771,Aguascalientes
4375.4321,18110.92,Normativo,765.0,268.32751,372.89493,641.22241,Aguascalientes
5799.8887,24539.305,Normativo,1020.0,400.6416,415.80963,816.45123,Aguascalientes
15411.527,26653.383,bisexual,720.0,0.0,309.51175,309.51175,Aguascalientes
1476.6564,8218.7871,Normativo,660.0,0.0,117.87328,117.87328,Aguascalientes
19192.688,25005.008,Normativo,1051.0,3380.4629,412.65607,3793.1189,Aguascalientes
1490.4607,13676.479,T+,847.0,0.0,166.32799,166.32799,Aguascalientes
2155.7871,21748.566,Normativo,1063.0,116.55689,150.43135,266.98825,Aguascalientes
4620.3477,22258.596,Normativo,1328.0,285.07388,103.76832,388.84219,Aguascalientes
3344.9172,11784.703,Normativo,1129.0,0.0,112.62388,112.62388,Aguascalientes
2200.6921,12746.051,Normativo,531.0,0.0,196.8004,196.8004,Aguascalientes
877.63806,23117.746,bisexual,1860.0,0.0,54.052971,54.052971,Aguascalientes
3256.1062,11691.708,Normativo,538.0,191.7924,403.57071,595.3631,Aguascalientes
1231.5282,11108.9,Normativo,538.0,53.359711,216.26758,269.62729,Aguascalientes
1998.701,10293.519,Lesbiana,538.0,105.81596,137.22243,243.03839,Aguascalientes
7319.5596,8045.9692,Normativo,286.0,586.16699,434.3667,1020.5337,Aguascalientes
6533.438,14547.712,Normativo,1143.0,490.19522,291.74115,781.9364,Aguascalientes
6666.8052,10993.722,Normativo,269.0,506.47705,593.50293,1099.98,Aguascalientes
1365.7095,9806.2158,Normativo,495.0,62.534496,338.48755,401.02203,Aguascalientes
9702.0977,16872.625,Normativo,526.0,0.0,294.78314,294.78314,Aguascalientes
1969.1459,16469.455,bisexual,743.0,103.7951,135.41522,239.21033,Aguascalientes
11620.188,12823.409,Normativo,192.0,1341.9801,692.28027,2034.2604,Aguascalientes
1684.953,12946.997,Normativo,361.0,84.363113,137.16389,221.52701,Aguascalientes
2102.6106,22241.441,Normativo,361.0,112.92089,432.99576,545.91663,Aguascalientes
13009.044,14985.886,Normativo,192.0,1700.8772,809.02246,2509.8997,Aguascalientes
18466.117,34292.328,Normativo,1245.0,3183.1138,687.70166,3870.8154,Aguascalientes
1567.3154,20827.043,Normativo,1172.0,76.319519,235.56456,311.88409,Aguascalientes
13251.585,17062.893,Normativo,293.0,1766.7556,590.86041,2357.616,Aguascalientes
10530.944,22777.197,Normativo,1245.0,0.0,385.95184,385.95184,Aguascalientes
7817.834,26108.637,Normativo,1557.0,0.0,216.96332,216.96332,Aguascalientes
8033.5176,13725.263,Normativo,559.0,673.32886,473.76395,1147.0928,Aguascalientes
9224.7334,17534.387,Normativo,891.0,844.8949,201.39023,1046.2852,Aguascalientes
2134.2109,17491.02,Normativo,559.0,115.0816,233.17194,348.25354,Aguascalientes
5785.563,14517.834,Normativo,559.0,0.0,181.53502,181.53502,Aguascalientes
7534.0708,13240.483,Normativo,891.0,612.35504,189.44778,801.80286,Aguascalientes
4297.4639,19045.346,Normativo,810.0,262.99634,272.50525,535.50159,Aguascalientes
8602.083,9434.1865,Normativo,287.0,742.74072,509.31055,1252.0513,Aguascalientes
